,Predicciones,host_response_rate,price,host_acceptance_rate,room_type,accommodates,availability_30,availability_365,availability_60,availability_90,bedrooms,beds,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,calendar_updated,latitude,longitude,maximum_maximum_nights,maximum_minimum_nights,maximum_nights,maximum_nights_avg_ntm,minimum_maximum_nights,minimum_minimum_nights,minimum_nights,minimum_nights_avg_ntm,number_of_reviews,number_of_reviews_l30d,number_of_reviews_ltm,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,reviews_per_month
14559,90.22163237110513,100.0,240.0,99.0,,9.0,30,365,60.0,90.0,1.0,9.0,10,0.0,0,10,,19.43227,-99.14498,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,0.0,0.0,0.0,4.43,4.71,4.38,4.67,4.85,4.19,4.38,1.61
14613,90.22163237110513,100.0,240.0,99.0,,9.0,30,365,60.0,90.0,1.0,9.0,10,0.0,0,10,,19.43223,-99.14402,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,21.0,0.0,20.0,4.43,4.71,4.38,4.67,4.85,4.19,4.38,1.61
14670,90.74641243277964,100.0,220.0,100.0,,6.0,30,365,60.0,90.0,1.0,9.0,1,0.0,0,1,,19.4241,-99.15868,1125.0,6.6,1125,1125.0,1125.0,6.4,6.5,6.6,0.0,0.0,0.0,4.76,4.72,4.54,4.82,4.84,4.52,4.72,3.42
14852,90.74641243277964,100.0,220.0,100.0,,1.0,30,365,60.0,90.0,1.0,1.0,1,0.0,0,1,,19.47318,-99.09522,1125.0,7.0,1125,1125.0,1125.0,7.0,7.0,7.0,0.0,0.0,0.0,4.76,4.72,4.54,4.82,4.84,4.52,4.72,3.42
14995,90.74641243277964,100.0,205.0,100.0,,1.0,25,175,55.0,85.0,1.0,2.0,35,0.0,18,17,,19.41074,-99.179596,1125.0,1.0,365,1125.0,1125.0,1.0,1.0,1.0,50.0,0.2,3.3,4.76,4.72,4.54,4.82,4.84,4.52,4.72,3.42
15015,90.74641243277964,100.0,204.0,100.0,,3.0,29,364,59.0,89.0,1.0,1.0,35,0.0,18,17,,19.41074,-99.179596,1125.0,1.0,365,1125.0,1125.0,1.0,1.0,1.0,57.0,1.0,3.3,4.75,4.58,4.47,4.47,4.81,4.65,4.65,0.8
15106,90.74641243277964,100.0,199.0,100.0,,1.0,11,300,41.0,71.0,1.0,1.0,3,0.0,1,2,,19.41315,-99.16271,365.0,1.0,365,61.4,1.0,1.0,1.0,1.0,10.0,0.0,10.0,4.8,4.9,4.8,4.9,4.9,4.6,4.9,0.83
15110,90.74641243277964,100.0,199.0,100.0,,1.0,29,319,59.0,89.0,1.0,1.0,3,0.0,1,2,,19.4127,-99.16393,365.0,1.0,365,63.3,1.0,1.0,1.0,1.0,3.0,0.0,2.0,2.0,2.67,2.33,2.67,3.0,2.0,2.0,0.24
15162,90.74641243277964,100.0,204.0,100.0,,4.0,29,179,59.0,89.0,1.0,1.0,35,0.0,18,17,,19.41074,-99.179596,1125.0,1.0,365,1125.0,1125.0,1.0,1.0,1.0,27.0,3.0,22.0,4.63,4.63,4.59,4.59,4.85,4.52,4.67,1.87
15207,88.12251212440705,94.0,250.0,95.0,,1.0,21,356,51.0,81.0,1.0,1.0,7,0.0,3,4,,19.44705,-99.20225,15.0,1.0,15,15.0,15.0,1.0,1.0,1.0,19.0,1.0,12.0,4.95,4.95,4.89,4.95,4.74,4.95,4.89,1.35
15294,90.74641243277964,100.0,205.0,100.0,,3.0,30,365,60.0,90.0,1.0,1.0,35,0.0,18,17,,19.41074,-99.179596,1125.0,1.0,365,1125.0,1125.0,1.0,1.0,1.0,24.0,0.0,19.0,4.83,4.79,4.5,4.67,4.96,4.42,4.58,1.74
15302,90.74641243277964,100.0,205.0,100.0,,3.0,19,354,49.0,79.0,1.0,1.0,35,0.0,18,17,,19.41074,-99.179596,1125.0,1.0,365,1125.0,1125.0,1.0,1.0,1.0,33.0,3.0,28.0,4.55,4.45,4.48,4.27,4.76,4.39,4.61,2.41
15674,73.4286703975205,70.0,584.7,67.0,,2.0,30,365,60.0,90.0,1.0,1.0,1,0.0,0,1,,19.4062,-99.14475,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,0.0,0.0,0.0,4.33,5.0,4.33,5.0,4.67,4.67,4.67,0.25
15675,73.4286703975205,70.0,350.0,67.0,,1.0,26,361,56.0,86.0,1.0,5.0,2,0.0,1,1,,19.409782,-99.082001,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,3.0,0.0,3.0,4.33,5.0,4.33,5.0,4.67,4.67,4.67,0.25
15743,90.22163237110513,97.0,400.0,99.0,,1.0,30,279,60.0,90.0,1.0,1.0,17,0.2,0,3,,19.35192,-99.19322,365.0,3.0,365,365.0,365.0,1.0,1.0,2.8,1.0,0.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0.14
15748,90.22163237110513,97.0,400.0,99.0,,1.0,23,272,53.0,83.0,1.0,1.0,17,0.2,0,3,,19.35194,-99.19272,365.0,3.0,365,365.0,365.0,1.0,1.0,2.8,2.0,0.0,2.0,5.0,5.0,4.0,5.0,5.0,4.5,4.5,0.2
15752,90.22163237110513,97.0,400.0,99.0,,1.0,26,275,56.0,86.0,1.0,1.0,17,0.2,0,3,,19.35348,-99.1933,365.0,3.0,365,365.0,365.0,1.0,1.0,2.8,2.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.16
16123,79.72603113761474,80.0,204.0,79.0,,1.0,29,364,59.0,89.0,1.0,2.0,11,0.0,8,3,,19.38027,-99.18659,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,16.0,3.0,16.0,4.88,5.0,4.63,4.69,5.0,5.0,4.94,1.53
